name,id,numSongs
Warren G,2B4ZHz4QDWJTXPFPgO5peE,1
Coolio,3y24n3XhZ96wgwRXjvS17T,1
Freak Power,0uh9TDn4yP8gqCmrnIcOPJ,1
Young Disciples,3kJihkcV0ZHZCoKngxp5c4,1
Jamiroquai,6J7biCazzYhU3gM9j1wfid,3
WOS,5YCc6xS5Gpj3EkaYGdjyNK,9
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,8
Ugly Rumours,5awynhxyYFdWMhjY0P7Eld,1
The Beatnuts,5ynvmGwc83ZoRx2EIWHXLX,1
Mobb Deep,6O2zJ0tId7g07yzHtX0yap,1
DMX,1HwM5zlC5qNWhJtM00yXzG,3
Ed Helms,4frIPWBfpZWw7REcjGAkJF,1
Eminem,7dGJo4pcD2V6oG8kP0tJRR,48
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,1
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,6
Harry Styles,6KImCVD70vtIoJWnq6nGn3,2
DaBaby,4r63FhuTkUYltbVAg5TQnk,1
Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,2
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,24
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,1
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,1
Drake,3TVXtAsR1Inumwj472S9r4,2
Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,1
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,5
Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,1
Armani White,2qAwMsiIjTzlmfAkXKvhVA,1
Atomic Otro Way,05i5DIXDf4Ai4NEPEi3uBZ,1
N.W.A.,4EnEZVjo3w1cwcQYePccay,2
Deep Purple,568ZhdwyaiCyOGJRtNYhWf,2
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,2
Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,3
Ramin Djawadi,1hCkSJcXREhrodeIHQdav8,5
Adventure Time,3Op7D6tFVJCOHW6EAV0ck1,2
Steven Universe,4rF7c8zpCKzuSXohs2HIpA,1
Four Tops,7fIvjotigTGWqjIz6EP1i4,2
Sergio Mendes & Brasil '66,6hCsqVHnBo1BVQWuIjRMkL,1
Styx,4salDzkGmfycRqNUbyBphh,1
101 Strings Orchestra,1sLpCr5xThZkGHLw4H0mNE,1
Sam Spence,18n57lp9vXwU17jg4Vb1sM,1
The Bob Crewe Generation Orchestra,7nNqmIVNxSboqqf9Wvv6Sr,1
Godiego,7agr01GMFpbX5ie9UsTGxe,1
Ringo Starr,6DbJi8AcN5ANdtvJcwBSw8,1
A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,2
Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,9
The Champs,3yt4IVDHz0luREG9Uf9xrp,2
Mikis Theodorakis,58EvYFzDGAQOmBpIOxujnj,1
ABBA,0LcJLqbBmaGUft1e9Mm8HV,10
Prince,5a2EaR3hamoenG9rDuVn8j,2
Don Toliver,4Gso3d4CscCijv0lmajZWs,1
Shaggy,5EvFsr3kj42KNv97ZEnqij,1
Judas Priest,2tRsMl4eGxwoNabM08Dm4I,3
Metallica,2ye2Wgw4gimLv2eAKyk1NB,5
Mötley Crüe,0cc6vw3VN8YlIcvr1v7tBL,5
Iron Maiden,6mdiAmATAx73kdxrNrnlao,3
稲垣次郎とソウル・メディア,3iIErrW9Zsp3U4UqrB71jq,2
Jiro Inagaki & Soul Media,3jOtONXUVTbywgYvbsrQXz,1
Cortex,7EhUXju6pssa8o3CvFJTew,3
Alan Silvestri,0Xk15jHKly4c3AhPr5vjoA,3
Randy Newman,3HQyFCFFfJO3KKBlUfZsyW,2
Roman Freely,3mTgdEMfUcBwSEZIOFLh3v,1
The Animals,3ICflSq6ZgYAIrm2CTkfVP,1
The Guess Who,0cQuYRSzlItquYxsQKDvVc,3
Jackson Browne,5lkiCO9UQ8B23dZ1o0UV4m,1
Post Malone,246dkjvS1zLTtiykXe5h60,1
Marshmello,64KEffDW9EtZ1y2vBYgq8T,1
Over the Garden Wall,7iOCrUsQ1PyiiBhp7Qc4cp,7
Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,12
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,1
Clairo,3l0CmX0FuQjFxr8SK7Vqag,1
Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,3
Boney M.,54R6Y0I7jGUCveDTtI21nb,1
The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,1
Musical Youth,2CuzDPkRD6BJBvdWqCrt2I,1
Louis Prima,52lBOxCxbJg0ttXEW9CQpW,1
King Herbert & The Knights,2PhDhZqcMd3Io1dVMARQFx,1
The Right On Band,4Xa2KSrbcyFcS2KZTJE5EV,1
Blur,7MhMgCo0Bl0Kukl93PZbYS,1
The Jokers,4MGKpqZobaP1gwS2l8VZQd,1
Chick Corea,5olDKSsFhhmwh8UCWwKtpq,1
Vicarious Visions Audio,57McP1QXbAqhD2M1oQICzB,1
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,1
Spa Sensations,4C3Q76M7paRGIIrkMpuizB,1
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,1
Bo Burnham,2Waw2sSbqvAwK8NwACNjVo,24
Karla Devito,15CMKIUPCTqlhDIDzUdx5p,1
The Damned,6VeL8VhaMjHTPc5uovFl3h,2
That Handsome Devil,3MIk8tAIzBQ5iZWmlVLCCT,1
Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,1
2Pac,1ZwdS5xdxEREPySFridCfh,4
Elton John,3PhoLpVuITZKcymswpck5b,5
DeBarge,6is2U7I1jlI8PjxNZOHIMV,1
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,7
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,11
Joseph Haydn,656RXuyw7CE0dtjdPgjJV6,1
Igor Stravinsky,7ie36YytMoKtPiL7tUvmoE,1
Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,3
Queen,1dfeR4HaWDbWqFHLkxsg1d,7
The Beach Boys,3oDbviiivRWhXwIE8hxkVV,9
Bob & Earl,2gOghlWpnfwGGip7S1cMuq,1
Gregg Bissonette,2eBaOuE2ZujGVsgpd9aE7Q,1
Motörhead,1DFr97A9HnbV3SKTJFu62M,1
Rascal Flatts,0a1gHP0HAqALbEyxaD5Ngn,1
James Ray,5DG3ZUxWmaQySIbGHdq03J,2
Leslie Odom Jr.,3cR4rhS2hBWqI7rJEBacvN,7
Daveed Diggs,3twuAojvYNrlWZpMkxLm3P,2
ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,1
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,1
Mac Miller,4LLpKhyESsyAXpc4laK94U,1
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,2
Betoven Collection,5BWwOqYJwIlEbS858Kmh2E,1
Astor Piazzolla,7dsugSamBB7enWE2IrlbFg,1
Ramones,1co4F2pPNH8JjTutZkmgSm,18
Shorty Long,2aJC0GVDp9BwwQgXUjZ65K,1
Squirrel Nut Zippers,0LIll5i3kwo5A3IDpipgkS,1
Platina Jazz,5MhL5v5b7XSLDIwNgLtwwQ,1
Mister Loco,3Db71fMKD6BBlGWWthffOn,1
Gramatik,179BpmLkQCRIoU68Co80f5,1
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,1
"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,4
Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,3
Sonny Rollins,1VEzN9lxvG6KPR3QQGsebR,1
Charles Mingus,1W8TbFzNS15VwsempfY12H,2
Riley Foster,5xRnxrWctOpvhjuHe58iUD,1
Johann Pachelbel,62TD7509VQIxUe4WpwO0s3,1
Lin-Manuel Miranda,4aXXDj9aZnlshx7mzj3W1N,2
James Taylor,0vn7UBvSQECKJm2817Yf1P,1
Rodrigo,235Vf4hkmwvxjVEMuCbRxm,1
Mad Yella,2RuKZzKv8SwE7nh7TaymMH,1
War,3ICyfoySNDZqtBVmaBT84I,2
The Jacksons,2yrbLiuBmc9j81lTX3XUuI,1
Willy Crook,0OdeZASgfypHefnghEjCAD,1
Rick James,0FrpdcVlJQqibaz5HfBUrL,5
Ted Nugent,21ysNsPzHdqYN2fQ75ZswG,1
The Roots,78xUyw6FkVZrRAtziFdtdu,1
KC & The Sunshine Band,3mQBpAOMWYqAZyxtyeo4Lo,1
The Bar-Kays,0Z4CzYz9ieK8q9XiVMPkW5,1
The Clash,3RGLhK1IP9jnYFH4BRFJBS,2
JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,4
Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,9
Elmer Bernstein,7sXdMnZeR5MsLKToZKpR2c,1
Huey Lewis & The News,7A9yZMTrFZcgEWAX2kBfK6,2
Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,1
The Conscious Daughters,120cCFsKuYyGeIQaOMs0DV,1
Stray Cats,2ibPkysx2PXqWLmxFD7jSg,1
Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,1
Blue Öyster Cult,00tVTdpEhQQw1bqdu8RCx2,1
Airbourne,6urzdpGY5yUimWZsgJUoTb,2
Bruno Major,0hDjKSKjl1DC7ovYTDJHe8,1
Aram Khachaturian,5WIoytpqi3VWoFSHnl49in,1
The Outatime Orchestra,2taffC19qE4FkJpPPfMzqw,1
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,10
Deee-Lite,4eQJIXFEujzhTVVS1gIfu5,1
Halfbrick,0dDIQXCc5PRqBt9nJ0j7aS,1
Modest Mussorgsky,284mnx33IWcymQEpMxyfHl,1
Edward Elgar,430byzy0c5bPn5opiu0SRd,2
Edvard Grieg,5ihY290YPGc3aY2xTyx7Gy,2
Gustav Holst,5B7uXBeLc2TkR5Jk23qKIZ,1
Essential Jazz Masters,1dtArP0ZUghfKpDDSdnhxM,1
Igor Savin,51d69j3dyLEFqRa8LfAXBY,1
Method Man,4VmEWwd8y9MCLwexFMdpwt,1
The Sylvers,0efkWb9xKhT6H0E7kgSjFK,1
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,11
The Archies,33QmoCkSqADuQEtMCysYLh,1
Chuck Berry,293zczrfYafIItmnmM3coR,3
Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,2
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,3
Scorpions,27T030eWyCQRmDyuvr1kxY,1
Alice Cooper,3EhbVgyfGd7HkpsagwL9GS,1
Jonathan Groff,7KkqUt65v6LMtR369OQ6FB,2
House Of Pain,0AuW7OCyKfFrsMbtHrYgIV,3
The Cruel Intentions,3RKn3P56kkewba1s6QpyDk,2
The Quireboys,0d49iRrp4iVZggKbcpxnqI,1
Tigertailz,1xo5zONg7VWkVmR0I0YO4d,1
League of Legends,47mIJdHORyRerp4os813jD,16
Sex Pistols,1u7kkVrr14iBvrpYnZILJR,1
Tones And I,2NjfBq1NflQcKSeiDooVjY,1
Foxy Shazam,5qRXoCC1CDTMTli9gplUvk,1
Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,9
Ludwig Goransson,24eDfi2MSYo3A87hCcgpIL,2
Barry White,3rfgbfpPSfXY40lzRK7Syt,1
Jessica Darrow,4vdAAzZBUKbsrvHi6UR7B7,1
Carolina Gaitán - La Gaita,29PgYEggDV3cDP9QYTogwv,1
The Who,67ea9eGLXYMsO2eYQRui3w,1
Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,1
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,8
Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,3
The Zombies,2jgPkn6LuUazBoBk6vvjh5,1
Kali Uchis,1U1el3k54VvEUzo3ybLPlM,1
Electric Light Orchestra,7jefIIksOi1EazgRTfW2Pk,6
40 Glocc,4XEvTeo7w0M4EX2emvEpkX,1
Blackstreet,2P3cjUru4H3fhSXXNxE9kA,1
50 Cent,3q7HBObVc0L8jNeTe5Gofh,1
Skee-Lo,55Pp4Ns5VfTSFsBraW7MQy,1
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,3
Dionne Warwick,2JSjCHK79gdaiPWdKiNUNp,1
Twisted Sister,7b85ve82Sh36a3UAx74wut,2
The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d,1
Blondie,4tpUmLEVLCGFr93o8hFFIB,2
Jonny Greenwood,0z9s3P5vCzKcUBSxgBDyLU,1
Dickon Hinchliffe,3SzIzpOIDpgwKNWaKL4FG4,1
Natalie Holt,04ZLnodB6WbVvYg2LECqpQ,1
Johnny Klimek,35CsFzAi3BR19Ar1wRlPb6,1
Christophe Beck,1GjWNGbMtHDQ7CNYf2d7cw,1
Canned Heat,27a0GiCba9K9lnkKidroFU,1
Michael Giacchino,4kLvhMAuCloLxoP1aVM7Lr,16
John Paesano,3MhnTc9AODdRGMrtntEqIz,1
Danny Elfman,5qBZETtyzfYnXOobDXbmcD,3
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,1
Sia,5WUlDfRSoLAfcVSX1WnrxN,6
Pabellon Psiquiatrico,4QSpyhdzlNUT0g5fi2tXtP,1
Cardi B,4kYSro6naA4h99UJvo89HB,1
Dean Martin,49e4v89VmlDcFCMyDv9wQ9,2
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,13
Gilbert O'Sullivan,4HVmeVTQBgvTuvjB1JYwaf,4
C418,4uFZsG1vXrPcvnZ4iSQyrx,3
FlyxTheKid,5xKVOc3OIhyBDsw2rYpN3R,1
The Kinks,1SQRv42e4PjEYfPhS0Tk9E,20
Anya Taylor-Joy,5RAMfpOCoBthlipim1IaUa,1
Cilla Black,3bCvHtuIXWXPbCMdSYudmZ,1
The Walker Brothers,49WlsIvcUYj7Awo93hDKgf,1
Sandie Shaw,5uxkcHbgyNbyzq1nyChvCa,1
The Graham Bond Organisation,2YHcSCb5tMbCoovS962pff,1
The Searchers,4QmkLL9JOqM9dusHS1Hghe,1
Dusty Springfield,5zaXYwewAXedKNCff45U5l,4
Peter And Gordon,6lHC2EQMEMZiEmSfFloarn,1
Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,1
Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,1
Miles Davis,0kbYTNQb4Pb1rPbbaF0pT4,2
Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,3
Josh Radnor,6FyIfzq9HY3BhLmrbdwePe,2
Cobie Smulders,6BHT3tdTesGiMR817YFQNE,1
How I Met Your Mother Cast,1jUh2QomRNxuh5DEUW51Wp,1
Robin Sparkles,40GCiwUFiowJqS6MHrwPWF,1
Ciro y los Persas,2Eo4Yaukt9d6dnZrY5hQKi,8
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,1
John Powell,3EAHF3jdnHHdko5DBrhRUP,2
Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,7
Bizarrap,716NhGYqD1jl2wI1Qkgq36,4
Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,2
The Buggles,057gc1fxmJ2vkctjQJ7Tal,1
Olivia Rodrigo,1McMsnEElThX1knmY4oliG,2
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,1
John Murphy,4UGoqrmNHDJ166XD6DtZni,2
Gael Garcia Bernal,09oR0uKhqwScsKa2eUK97p,2
Pom Poko,4RkC3KmYWnr6PM1FM5Shwz,2
Thundercat,4frXpPxQQZwbCu3eTGnZEw,2
The Brian Setzer Orchestra,7HQH1SJokcVMdstilKJ2S8,1
Jacob Collier,0QWrMNukfcVOmgEU0FEDyD,3
Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,1
Scott Bradlee's Postmodern Jukebox,5HYNPEO2NNBONQkp3Mvwvc,3
Beyoncé,6vWDO969PvNqNYHIOW5v0m,1
OMI,5MouCg6ta7zAxsfMEbc1uh,1
"Gladys ""La bomba tucumana""",09jut908wvFm55SqnO4DN3,1
Memphis La Blusera,55j4xUfI5AATqETp8AnrRp,3
Gustav Mahler,2ANtgfhQkKpsW6EYSDqldz,1
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,1
Vittorio Monti,05ZN3Mgw6026ilsQzehDxC,1
Mick Gordon,13ab1LgQZ3tQOhkDRRYB8Y,2
Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,3
Sumo,10AzTrYMPVVmpKoBP5bX9W,3
Darren Korb,0ZMWrgLff357yxLyEU77a1,2
