name,id,numSongs
Estelle,5T0MSzX9RC5NA6gAI6irSn,1
Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,1
Roberta Flack,0W498bDDNlJIrYMKXdpLHA,1
Little Richard,4xls23Ye9WR9yy3yYMpAMm,1
Al Green,3dkbV4qihUeMsqN4vBGg93,1
The Platters,6KWcxMWVNVIYbdOQyJtsSy,1
Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,15
MesmoLate,5j8DJKcTv7N90cOBH5Xh1n,1
El Kuelgue,6jRUKVZllu1wtgXHbqvUmT,5
Nat King Cole,7v4imS0moSyGdXyLgVTIV7,3
Dr. Doofenshmirtz,4YfkwCJadzF61hRcKQwlaP,3
Ricardo Silva,2lCmsUtLSxA7esbqH1bUW7,1
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,1
John Coltrane,2hGh5VOeeqimQFxqXvfCUf,2
Herbie Hancock,2ZvrvbQNrHKwjT7qfGFFUW,1
Ron Carter,4wnzivx3OQ3vjrySAdTdJP,1
Otis McDonald,4Ps1M3A9ck9G3gbPjllg7T,1
SJ,2fVORTrQDo1bH17yLbGA79,1
Intoxicados,4VgvR7eu3k2T20mo6mXhXF,2
K'NAAN,7pGyQZx9thVa8GxMBeXscB,1
Fonzi M,6b7F9Fnlc9n8PvM3EEaMNB,1
The Chords,3xXSg1WJPGJuNjQV0REAzk,1
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,2
Fountains Of Wayne,1pgtr4nhBQjp9oCUBPyYWh,1
Mountain,7LCp4MN0SOIVWlssid9KyE,1
Nena,6Tz0QRoe083BcOo2YbG9lV,1
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,2
Alphonse Mouzon,0UXy6wqMmVQ7PIWFNSXqdk,1
Billy Cobham,0IwfuIL3gUJxjzUqY3wJ3j,1
Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,7
Bill Evans,4jXfFzeP66Zy67HM2mvIIF,2
The Dave Brubeck Quartet,4iRZAbYvBqnxrbs6K25aJ7,1
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,1
Foreigner,6IRouO5mvvfcyxtPDKMYFN,1
Fujifabric,2QgdUzpKFNxey5IuwvsGBL,1
Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,2
Patsy Cline,7dNsHhGeGU5MV01r06O8gK,1
Mos Def,0Mz5XE0kb1GBnbLQm2VbcO,2
Alexey Omelchuk,6RBwMAGd1Ep3EITgXeqRxk,1
The TV Theme Players,3izxIb8kNtirg63VhYPW8u,1
Falcom Sound Team jdk,5WFofzgRxpVNkpwg9XRSdg,1
Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,4
Cherry Poppin' Daddies,1stGNsBocVFM9MfQtySETw,1
Royal Crown Revue,1xPJUnlSWLJHXch33w1Ljj,1
The Atomic Fireballs,3gv1hh37jyGKfyAjFvv7No,1
Keith David,1LPgqTHt7RmHwYtS9KQTMY,1
Friedrich Habetler,3VudC1DraV4LjIdLzpqQ80,1
Vince Guaraldi Trio,4ytkhMSAnrDP8XzRNlw9FS,1
The Four Aces,542GsScaNnc2Ed8yokKLsy,1
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,1
Erik Satie,459INk8vcC0ebEef82WjIK,1
Franz Liszt,1385hLNbrnbCJGokfH2ac2,1
Rousseau,1Mtd57xUzIfeCexQtWRvgr,1
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,1
Nikolai Rimsky-Korsakov,2kXJ68O899XvWOBdpzlXgs,1
Harry James,5MpELOfAiq7aIBTij30phD,1
Soda Stereo,7An4yvF7hDYDolN4m5zKBp,3
Madness,4AYkFtEBnNnGuoo8HaHErd,1
Video Game Players,2EFkigEczkUGF0PWTBX8IR,1
Los Abuelos De La Nada,5R3NywPPOyhLfdvutgg0me,2
Las Pastillas del Abuelo,0D5U7oXEE4dut2DPyUDLca,1
Los Fabulosos Cadillacs,2FS22haX3FYbyOsUAkuYqZ,2
Ratones Paranoicos,5fVtUielMhdztOA34ArB6c,1
Charly García,3jO7X5KupvwmWTHGtHgcgo,5
Pappo's Blues,59dLJG3ZVwkMZLFKByQCJB,1
Turf,0Zncosr79q01riJYbSBNA1,2
Enrique Santos Discépolo,0aPYs7yoiP2NtS5xNZXKjg,1
Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,1
Los Pericos,7FnZWGw9lwOr7WzieTKEPR,1
Raul Porchetto,3WoxTj3fh8I58MpnwZyYyL,1
The Longest Johns,5k979N1TnPncUyqlXlaRSv,1
Miki Matsubara,4hUmsYcvD8C5zuVSP93jb1,1
Bon Jovi,58lV9VcRSjABbAbfWS6skp,1
Cindy,2ZMPUpiuAKAkzPdMj6qEX0,1
Vera Lynn,2rJkmlVHePMo2gk0InTZRS,1
Jeff Zavac,3wlGboM57eZwqMIM2o31GL,1
Carl Orff,4LXxsm5BF85PWnQ1dUDAze,1
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,3
Nat King Cole Trio,3OpnoUqoRIHWbsFs4Nw0NQ,1
Kurt Weill,69a1b61a56mJlx8iAUMBsY,1
The Ronettes,7CyeXFnOrfC1N6z4naIpgo,1
Frankie Valli,3CDKmzJu6uwEGnPLLZffpD,1
Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,1
The Marvelettes,0MponVSpW81oLvJZ53vYZH,1
Connie Francis,3EY5DxGdy7x4GelivOjS2Q,1
Dion & The Belmonts,2loYllWFfoWpoxC5YrJKc4,1
Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,1
Édith Piaf,1WPcVNert9hn7mHsPKDn7j,1
Silverwood Quartet,1sfYyBwO9iARP7tsE0bq2i,1
Claude Debussy,1Uff91EOsvd99rtAupatMP,1
"Daniel, Me Estás Matando",51yyeVxyvecgePAWXmeLUE,1
José José,4mN0qcMxWX8oToqfDPM5yV,1
Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,1
Camille Saint-Saëns,436sYg6CZhNefQJogaXeK0,1
Louis Armstrong,19eLuQmk9aCobbVDHc6eek,2
Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,6
Count Basie,2jFZlvIea42ZvcCw4OeEdA,1
"Grover Washington, Jr.",05YVYeV4HxYp5rrWalvuE1,1
Dexter Gordon,3NUsiT2JSyaWAnWaXxDzhQ,1
Charlie Parker,4Ww5mwS7BWYjoZTUIrMHfC,1
Art Tatum,3DtSOCXYU6o4EV0K1NgIKq,1
Dizzy Gillespie,5RzjqfPS0Bu4bUMkyNNDpn,1
Wes Montgomery,03YhcM6fxypfwckPCQV8pQ,1
Cannonball Adderley,5v74mT11KGJqadf9sLw4dA,1
YSY A,2qWK8K2Jfh67UqtwY8tCW6,1
The Chalkeaters,7x7YgBS9WW3rfvfagAlohI,1
Chorus - Hercules,2pLvZNFSNqj5ggB8cPK7ki,1
Andy Williams,4sj6D0zlMOl25nprDJBiU9,2
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,2
The Monkees,320EPCSEezHt1rtbfwH6Ck,1
The Knack,0Nn9YwJzcaeuU1jJL06e3r,1
Pilot,6PwcexHTG0qJWQQwp05Bpm,1
Mungo Jerry,2mbvqMGpwLsakeH45p1Jrb,1
The Greatest Bits,2dB3VxAmEw5Dqewiha1oO1,5
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,2
B.J. Thomas,0uUNzXylqsZdmFDwdxaP1V,1
Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,2
The Supremes,57bUPid8xztkieZfS7OlEV,1
Bobby McFerrin,2FjkZT851ez950cyPjeYid,1
Glen Campbell,59hLmB5DrdihCYtNeFeW1U,1
The Romantics,3daM7asS0gCFvyLemNx2EE,1
Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,1
Wham!,5lpH0xAS4fVfLkACg9DAuM,1
The Surfaris,6gZVflqhSHhG3MjYrf1dOv,1
Los Bravos,7ewJCECkpkh56w0Y4VWzSY,1
Starship,0kObWap02DEg9EAJ3PBxzf,1
James Brown,7GaxyUddsPok8BuhxN6OUW,3
Dexys Midnight Runners,4QTVePrFu1xuGM9K0kNXkk,1
The Black Keys,7mnBLXK823vNxN3UWB7Gfz,1
Braxton Burks,1U2GH2NLt30RW9bnJEvcgM,1
Fandango,0K4nxvAJBnfObOL3vkJhc0,1
Don Cheto,5jZNm2VcrKPHrnwxkJnKsx,1
Los Angeles Negros,1NiC1V6xc8OR1ERiIoCvtx,1
Kashmere Stage Band,5IlWFdNUgNdNDs50YtHoNf,1
Rufus Wainwright,2PfBzriIMRsCXPDtSy9vg8,1
Gustavo Cerati,1QOmebWGB6FdFtW7Bo3F0W,2
Esbabyface,2odRm3D7TlfzEKm5TQPE2G,2
Blackthoven,6KhtkRzbD5IKjYOlHanIjS,1
Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,12
Oh No,5PA6iCCOkq14PpMWWlhJ5T,1
Carla Thomas,1QAGLCom3FHTTiuRFsjzOj,1
Commodores,6twIAGnYuIT1pncMAsXnEm,1
Pat Benatar,43mhFhQ4JAknA7Ik1bOZuV,1
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,1
Sting,0Ty63ceoRnnJKVEYP0VQpk,1
System Of A Down,5eAWCfyUhZtHHtBdNk56l1,1
Britney Spears,26dSoYclwsYLMAKD3tpOr4,4
Pentakill,2qcGTB5s2t9o2w9SrI719s,7
London Voices,7y3ULlnKKpeZ4JOKMAJQzK,1
John Cena,0CV4DAO1wV3ikZGYIkMtmh,1
William Jacobs,2T2raS4QdsQxb9lb3qGuz7,1
Village People,0dCKce6tJJdHvlWnDMwzPW,1
Lil Memer,1fvvJI9jOyh1V5Cjb3hbHs,1
Hard Bass School,5H8ZNi2r1xkfNC3HRkoOmZ,2
Halogen,0Za5KjrhmN4OYMr04f3g1e,1
Basshunter,37DdwREpvvQHmGLFEZ4h0Q,1
Bernard Herrmann,5bUj39bg0zEbRzjUEISMG9,1
Elvin Bishop,2G1yVp387GlUf9yvLk6V11,1
Dick Dale & His Del-Tones,7J77vP6EbI63lB3snZeRj4,1
Giorgio Gaber,7sjeFi52xnDK82OfIhUOqU,1
Santana,6GI52t8N5F02MxU0g5U69P,1
Donna Summer,2eogQKWWoohI3BSnoG7E2U,1
The Turtles,2VIoWte1HPDbZ2WqHd2La7,1
WC,3NgwMzys77S7sgfh2W5k0V,1
Helen Reddy,0Sq7oGrYEe0BDmb13wgjOO,1
Logic,4xRYI6VqpkE3UwrDrAZL8L,5
Bill Conti,272ygo5fv9cYsiCLcV0HV2,1
Nancy Sinatra,3IZrrNonYELubLPJmqOci2,2
Jerry Lee Lewis,2zyz0VJqrDXeFDIyrfVXSo,2
The Runaways,5eTq3PxbOh5vgeRXKNqPyV,1
KISS,07XSN3sPlIlB2L2XNcTwJw,3
Van Halen,2cnMpRsOVqtPMfq7YiFE6K,2
Simple Minds,6hN9F0iuULZYWXppob22Aj,1
Warrant,7HLvzuM9p11k9lUQfSM4Rq,1
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,1
Billy Idol,7lzordPuZEXxwt9aoVZYmG,1
Survivor,26bcq2nyj5GB7uRr558iQg,1
Quiet Riot,1dLWg6m8RRhizsdqJbhyj3,1
DEVO,0UKfenbZb15sqhfPC6zbt3,1
Ozzy Osbourne,6ZLTlhejhndI4Rh53vYhrY,1
"Joe ""Bean"" Esposito",4PCSnq8Q3hxOTn3ro4cl0M,1
Seal,5GtMEZEeFFsuHY8ad4kOxv,1
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,1
Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2,1
CeeLo Green,5nLYd9ST4Cnwy6NHaCxbj8,1
The Proclaimers,1A92IAcd7A6npCA33oGM5i,2
Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,2
Donny Osmond,5ZEAzHE2TzAwUcOj6jMIgf,1
John Williams,3dRfiJ2650SZu6GbydcHNb,6
C.R.O,4puAp107dCehraE47QXVQX,1
Arizona Zervas,0vRvGUQVUjytro0xpb26bs,1
Yello,3xgj17ZsWxxU86S4qlWvOi,1
Calle 13,0yNSzH5nZmHzeE2xn6Xshb,1
Klaus Badelt,03GruNQP8X25PCoWzdvIGZ,1
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,1
Rick Astley,0gxyHStUsqpMadRV0Di1Qt,1
ERA,4D0CepDROoLM09ht1sM5cu,1
Art Blakey & The Jazz Messengers,6ykfXAed2KOLOMI3R0TZdz,1
MAMAMOO,0XATRDCYuuGhk0oE7C0o5G,1
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,1
Duckwrth,6I3MElirhT5t6Kf7p0hGk9,1
Michael Haggins,6CKmfNuULyn3w1pMMHrHqx,1
Bill Medley,1XE70WwxhnrXNAJYQQ9ygx,1
Ryan Gosling,6kXm2YCtdUOpRYNKeKhfue,1
Gary Portnoy,53U1IJqr6Hhmn53UcbgF7D,1
The 88,3OfiFNgFbJAwuQnVvOL2bh,1
The Future Kingz,4sw5s8BqMsNkOSZtNgACKv,1
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,2
Camille,0gOsZcHl7H3ewXVIEnWFZX,1
A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,1
TOTO,0PFtn5NtBbbUNbU9EAmIWF,1
Susan Boyle,1qAuetfG6mhtDgsVIffWQc,1
Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,4
Wayne Newton,5NX29TmuYrENlpvz6IgYMJ,1
Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,1
Frankie Goes To Hollywood,1mZu3rO7qSD09GdDpePHhY,1
Summers Sons,6dX4na3KWr3yMTLU4l1W7z,1
The Coup,4IvS1ZZ5nyiNMheybfx3Hf,1
The Police,5NGO30tJxFlKixkPSgXcFE,1
Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,2
Matthew Wilder,3bmFPbLMiLxtR9tFrTcKcP,1
Dickie Valentine,60JUOTnRuDTetm7Hiwonev,1
K CAMP,5bgfj5zUoWpyeVatGDjn6H,1
Inner Circle,5os0Ltvz8Q8BvXOPOd1frx,1
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,1
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,1
Lil Dicky,1tqhsYv8yBBdwANFNzHtcr,1
Europe,7Js6Lde8thlIHXggv2SCBz,1
Sex Bob-Omb,0epidpyARaIPmKpFUwcgnJ,2
Alexis Korner's Blues Incorporated,1aR0ilCZULHGE0uacBbjgN,1
Metric,1rCIEwPp5OnXW0ornlSsRl,1
Incredible Bongo Band,6tw3wmGmRXSWP9GqsnvY7B,1
Focus,0ifzzRKdmtgaHy9cfnnyCR,1
Brenda Holloway,3nXMZsj1H0F7h9SDUeYNjg,1
Young MC,5n30a5V4ftXNMHCHChmK2h,1
Jemaine Clement,1Ymky4GOgYA1NI96FCY8yE,1
Led Zeppelin,36QJpDe2go2KgaRleHCDTp,1
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,1
George Thorogood & The Destroyers,4n31svBA9GGIYxGxgrQaRK,1
David Glen Eisley,7iAUZj65TsyjfcvprSYb9w,1
Comethazine,1iJdyDcY98X3GMnUesl7tf,1
Dwayne Johnson,1T8S48bD91THNKBByWBDyn,1
Buchanan Brothers,2zLkcj2ouaDYpb2mmqim6f,1
Stealers Wheel,7bPU7cvfoD20ixGD9Qnqki,1
The Smile Away Reformatory Glee Club,76Vq50mL1AIHj5DUEbWvvM,1
They Might Be Giants,6zB02lwP6L6ZH32nggQiJT,1
Davay,3E51y3Ff8aURnyOkaxDXKS,1
AC/DC,711MCceyCBcFnzjGY4Q7Un,6
Harry Chapin,42q4Ivs7tAiCZ5C7eG5q4c,1
Googie Rene,41gR7Ifqu8QRnoTHc0QUwq,1
The Jon Spencer Blues Explosion,2NOhotupwYbKRNJF7LMDPG,1
Grouplove,3kVUvbeRdcrqQ3oHk5hPdx,1
Macy Gray,4ylR3zwA0zaapAu94fktwa,1
Miranda!,2eEmsgWmUFMbtU7agJpnjY,1
John Denver,7EK1bQADBoqbYXnT4Cqv9w,1
Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,1
Rupert Holmes,0TqIPD4IS1w4e30R38B3vj,1
10cc,6i6WlGzQtXtz7GcC5H5st5,1
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,1
Bee Gees,1LZEQNv7sE11VDY3SdxQeN,1
Ram Jam,6FITmSxIMsk6TfulFiCIIz,1
Skeeter Davis,5b2OzvLaL6nyxw5pbVbSdy,1
Jay & The Americans,0DAqhikcMKLo2lPADVz2fs,1
Blue Swede,0UpuH5U4nZ3UGGUJi0Zfbp,1
Redbone,0w7HLMvZOHatWVbAKee1zF,1
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,1
Yung Gravy,2YOYua8FpudSEiB9s88IgQ,2
Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,1
